,Rank,Country,% water,Total in km2,Land in km2,Water in km2
0,1,Russia,4.2,17098246,16378410,719836
1,2,Canada,8.9,9984670,9093507,891163
2,5,Brazil,0.6,8515767,8460415,55352
3,6,Australia,0.8,7692024,7633565,58459
4,7,India,9.6,3287263,2973190,314073
5,8,Argentina,1.6,2780400,2736690,43710
6,9,Kazakhstan,0.9,2724900,2699700,25200
7,10,Algeria,0.0,2381741,2381741,0
8,11,DR Congo,3.3,2344858,2267048,77810
9,12,Saudi Arabia,0.0,2149690,2149690,0
10,13,Mexico,1.0,1964375,1943945,20430
11,14,Indonesia,4.9,1904569,1811569,93000
12,15,Sudan,7.0,1861484,1731671,129813
13,16,Libya,0.0,1759540,1759540,0
14,17,Iran,7.1,1648195,1531595,116600
15,18,Mongolia,0.7,1564110,1553556,10560
16,19,Peru,0.4,1285216,1279996,5220
17,20,Chad,1.9,1284000,1259200,24800
18,21,Niger,0.0,1267000,1266700,300
19,22,Angola,0.0,1246700,1246700,0
20,23,Mali,1.6,1240192,1220190,20002
21,24,South Africa,0.4,1221037,1214470,4620
22,25,Colombia,8.8,1141748,1038700,100210
23,26,Ethiopia,0.7,1104300,1096630,7670
24,27,Bolivia,1.4,1098581,1083301,15280
25,28,Mauritania,0.4,1030700,1025520,4480
26,29,Egypt,0.6,1002450,995450,6000
27,30,Tanzania,6.5,945087,885800,61500
28,31,Nigeria,1.4,923768,910768,13000
29,32,Venezuela,3.3,916445,882050,30000
30,33,Pakistan,2.9,881913,856690,25223
31,34,Namibia,0.3,825615,823290,2425
32,35,Mozambique,1.6,801590,786380,13000
33,36,Turkey,1.8,783562,769632,13930
34,37,Chile,1.6,756102,743812,12290
35,38,Zambia,1.2,752612,743398,9220
36,39,Myanmar,3.4,676578,653508,23070
37,40,Afghanistan,0.0,652867,652867,0
38,41,South Sudan,0.0,644329,644329,0
39,42,France,0.5,640679,640427,3374
40,43,Somalia,1.6,637657,627337,10320
41,44,Central African Republic,0.0,622984,622984,0
42,45,Ukraine,4.0,603550,579300,24250
43,46,Madagascar,0.9,587041,581540,5501
44,47,Botswana,2.6,581730,566730,15000
45,48,Kenya,1.9,580367,569140,11227
46,49,Yemen,0.0,555000,555000,0
47,50,Thailand,0.4,513120,510890,2230
48,51,Spain,1.3,505992,498980,6390
49,52,Turkmenistan,3.7,488100,469930,18170
50,53,Cameroon,0.6,475442,472710,2730
51,54,Papua New Guinea,2.2,462840,452860,9980
52,55,Sweden,9.0,447425,407284,40142
53,56,Uzbekistan,4.9,447400,425400,22000
54,57,Morocco,0.1,446550,446300,250
55,58,Iraq,0.2,438317,437367,950
56,59,Paraguay,2.3,406752,397302,9450
57,60,Zimbabwe,1.0,390757,386847,3910
58,61,Norway,5.1,385207,365957,19520
59,62,Japan,3.6,377976,364546,13430
60,63,Germany,2.3,357114,348672,8350
61,64,Congo,0.1,342000,341500,500
62,65,Finland,10.1,338425,303816,34330
63,66,Vietnam,6.4,331212,310070,21140
64,67,Malaysia,0.4,330803,329613,1190
65,68,Ivory Coast,1.4,322463,318003,4460
66,69,Poland,0.3,312696,311888,791
67,70,Oman,0.0,309500,309500,0
68,71,Italy,2.4,301339,294140,7200
69,72,Philippines,0.6,300000,298170,1830
70,73,Ecuador,2.4,276841,256369,6720
71,74,Burkina Faso,0.2,274222,273602,620
72,75,New Zealand,1.6,270467,262443,4395
73,76,Gabon,3.7,267668,257667,10001
74,77,Guinea,0.1,245857,245717,140
75,78,United Kingdom,0.7,242495,241930,1680
76,79,Uganda,18.2,241550,197100,43938
77,80,Ghana,4.6,238533,227533,11000
78,81,Romania,3.0,238397,231291,7100
79,82,Laos,2.5,236800,230800,6000
80,83,Guyana,8.4,214969,196849,18120
81,84,Belarus,2.3,207600,202900,4700
82,85,Kyrgyzstan,4.1,199951,191801,8150
83,86,Senegal,2.1,196722,192530,4192
84,87,Syria,0.8,185180,183630,1550
85,88,Cambodia,2.5,181035,176515,4520
86,89,Uruguay,0.7,176215,175015,1200
87,90,Suriname,4.8,163820,156000,7820
88,91,Tunisia,5.0,163610,155360,8250
89,92,Bangladesh,9.6,148460,134208,14252
90,93,Nepal,2.6,147516,143686,3830
